"3","4","4","4","0","Do we delete old veg info for this plot? Many clay chunks pulled during the auger. Many Robins and Catbirds seen at the site.","Wilson Woods","1","0","0","0","0","0","1"
"4","5","3","2","4","Brick fragments found in soil. Fair amount of dumping around the edges of the park. Robins and Catbirds noticed at site. Many indicator species present (blueberry, oak, smilax, sassafras). Lots rocks and rounded pebbles in the soil - both A layers (in the auger) are very pebbly.","HEPP","1","0","1","0","1","0","0"
"5","6","4","4","1","Catbirds and Robins noticed at the site. Understory has many Box Elder and Basswood individuals. Mica found in the soil (mostly in the first two layers of the auger). A fair amount of clay and brick fragments found in the soil.","Govans Urban Forest","0","1","1","1","0","0","1"
"6","7","0","0","2","Hummingbird, Cardinals, Catbirds, and Morning Dove. Most trees were under extreme stress (due to vine coverage).","NMN","0","0","0","0","0","0","0"
"7","8","3","4","4","Took 2 augers at this site.","Springfield Woods","1","0","1","1","0","0","0"
"8","9","3","3","2","The fire pit is remnant of an old fire station. Many butterflies and moths at this site. Goldfinch, Robin, and Cardinals. Many tyoung Dogwood. Many escaped ornamentals.","Fairwood Forest","1","0","1","0","1","0","0"
"9","10","1","1","2","There is a fair amount of multiflora rose and poison ivy. Pokeweed, Ailanthus, and Vitis riperia were very present at the site but did not make it into any of the plots. Many power lines intersect the park. Vine layer cake. Many small Buckeye sp. A few young oak. Not many birds present- heard a few but did not see any.","Belvedere Forest Patch","1","0","1","0","0","0","0"
"10","11","1","1","2","Cardinals and Catbirds.  Highly invaded area- vines engulfing most of the forest. Parts of the forest overtaken by bamboo. Fox sighted- neighbor said there was a fox den. Some plant matter dumping. Concrete- part of the forest is a paper street.","Winston-Govans","1","0","1","0","0","0","0"
"1","1","3","1","2","Tulip Poplar, Oak, and Ash. Catbird, Woodthrush, Robin, Cardinal, and Crow. A lot of deer activity - many fed-on specied. Last two points (SGDW 13 and 14) were omitted due to their proximity to the building (they were beyond a fence in an area with no canopy cover and a concrete ground cover). Some vine coverage but mostly clear understory. Circis canadensis on the edges.","Spring Garden Dog Walk","1","0","0","0","1","0","0"
"2","3","4","3","0","No auger was taken at this site (because it is a cemetary). Many of the soil punches were not 20 cm in depth because of buried headstones. Somes escaped or planted ornimentals present. Birds noticed at site: Red Winged Blackbird, Cowbird, Flickers, Red Shoulder Hawks, Catbirds, Crows, Grackles, Sparrows, Cardinals, and Robins. Several grassy patches throughout.  Bulk density was pulled from points 1, 3, 6, and 9 on another day.","Jonah House","0","0","0","0","0","1","0"
